stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0,0,5.64,1.13,0,0,0.56,0,0,0.28,0
21Day,0.37,0.37,1.11,0,0,0,0,0,0,0,0.74,0.37,0.74,0.74,0,0.37,0.37,0.74,0,0.74,1.11,0,0,0,0
3Month,0.1,0,0.83,0.1,0.1,0.1,6.24,0.1,0,0.52,0,0.31,0.31,0.1,0,0.1,0,0,0.1,0,0,0.1,0.31,0,0.21
22Month,0,0,0,0,0,0.14,1.91,0.14,0.14,0.27,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0
