stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,2.54,0,2.54,0,0,0,0,15.78,5.36,0,0,0,0.56,0,0,1.13,0.56,0,0,0
21Day,0.74,0,0,2.59,0,0.37,0,0.37,0,0,0,0.37,0.74,0,2.22,0,1.85,0,0,0.37,0,7.77,1.85,0,0.37,0,1.48,1.48,0,0.74,0,0,0,0
3Month,0,0.42,0.31,4.06,0,0,0.42,1.35,0,5.93,1.14,0.1,1.25,0.83,0.52,1.14,3.02,0.31,0,1.77,0.31,0.1,0,0.1,0,0,0.1,0.42,1.87,0.1,0,0.31,0.31,0.94
22Month,0,0.68,0.55,2.46,0.14,0.14,0.82,3.28,0.82,29.38,1.09,0.41,3.96,0.27,0.68,1.91,2.87,0,1.09,1.23,0,0.14,0.14,0.27,0.14,0.14,0.14,0.27,1.5,0.14,0,0.41,0,0.27
