stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0.28,0,0,0,0,3.95,1.69,0,0,0.85,0,0,0.85,0.28,0,0,0
21Day,0.74,0,0,1.85,1.85,0,0.37,0,0,0.37,0.37,0.37,0.37,0.37,0.74,1.11,1.85,0,0,0,0,2.22,0.74,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0,0.42,0.21,3.33,0,0.1,0.1,0.94,1.25,9.26,0.83,0,2.39,0.52,1.35,1.46,1.25,0.1,0,0.73,0.42,0.1,0,0.21,0.1,0,0.52,1.04,0,0,0.42,0.42,1.77
22Month,0.14,1.09,0.14,2.6,0,0,0,0.27,2.32,28.97,0.41,0.55,2.6,0,0.68,3.01,2.46,0,0.27,0.14,0,0.14,0,0,0,0.27,0,0.27,0.14,0,0.27,0,0.55
