stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell
24hpf,0,0,1,0,0,0
72hpf,0,0,0,0.85,0,0
21Day,0,0.37,0,0.37,0.37,0
22Month,0.41,0,0,0,0,0.27
