stage,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0
21Day,0,0.37,0.37,0,0,0,0,0,0.37,0,2.22,0
3Month,0.1,0.52,0,1.04,0.1,0.31,0.21,0.1,4.26,0.1,0,0.1
22Month,0,0,0,0.82,0.14,0,0,0,0.41,0.14,0,0
