stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,14,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.41,0.28,0,1.13,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0.74,0.74,0,0,0,0,0,0,0,1.11
3Month,0.21,0,0.1,2.39,0,0.21,0,0.1,0.52,0,2.81,0.42,0.42,1.56,0.21,0.62,0.73,0.73,0.21,0,0.1,0.21,0.42,0,0.1,0.1,0.31,3.43,0,0,0.42,6.87
22Month,0,0.68,0.27,1.09,0,0,0,0.82,0.68,0.55,8.75,0.14,0.27,1.78,0,0.27,1.78,1.64,0,0.41,0.14,0,0.27,0,0.14,0.14,0.14,2.05,0.14,0.27,0,9.98
