stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0.28,0,0
21Day,0.74,0,1.48,0.37,0,0,0.37,0,0,0,1.11,0,0.37,0.37,0.37,0,0,0.74,0,0,0,0.74
3Month,0,0,0.52,0,0.21,0.21,1.14,0,1.35,1.77,0,0.21,0,0.52,0,0.1,0,0,0.1,0,0.1,0.42
22Month,0,0.14,0.68,0,0,0.14,2.19,0.14,5.33,0.27,0.14,0.27,0,1.09,0.68,0,0.14,0,0,0,0.14,0.55
