stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0,0,2.25,0.85,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.94,0,0.21,0.1,0,1.14,0.31,0.62,0.21,0.1,0.21,0.21,0.1,0.21,0,0.31,0.1,0.1,0.1,22.47,0.21,0.1,11.44,0.21
22Month,0,0.14,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0.14,0
