stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,10,2,16,0,2,0,8,0,0,0,54,7,25,7,171,0,0,5,0,0,0,0
72hpf,1.13,0,0.28,0,0.56,0,0,0,0,0,18.32,0,0.28,24.8,1.41,0.56,0,1.69,0.28,0.28,0,0
21Day,0,0,0.74,0.37,0.37,0,0,0,0,0,0.74,0,1.48,5.92,2.22,0,0,0.37,1.11,0,0.37,0
22Month,0,0.14,0.41,0,0,0.14,0,2.05,0.27,0.27,0.41,0,0.14,0,0,0,8.61,0,0,0,0,0.14
