stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,36.64,0.85,0.28,0,0,0,0,0,0.28,0.56,0.28,0.56,0,0,0.28,7.89,4.79,0,0.28,1.13,0,0,0.56,0,0
21Day,0,0,0,0.37,7.4,0,0,0,0,0,0.37,0,0.37,0.37,0,1.85,0,0,0,1.48,0.74,0,0,0.74,0.37,0,0.37,0,0
3Month,0.1,0,0.1,0.83,3.43,0,0,0.31,0.42,0.42,0,0.42,0.1,0.62,0.1,2.39,0.31,0.42,0.21,0,0,0.21,0,0,0,1.56,0.1,0.21,4.16
22Month,0,0.14,0,0.27,2.6,0,0,0.14,1.37,0.27,0,0.68,0,0,0.27,0.41,0.27,0,0,0,0,0,0.14,0,0,0.55,0,0,0
