stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.1,6.2,0.56,0,0,0,0,0,0,0,0,1.13,0,1.13,0,0,0,8.17,0.85,0.56,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,1.48,0,0,0,0.74,0,0.37,0,0.37,0,0,0
3Month,0.1,0.1,0.1,10.71,1.56,0,0.1,0.52,0.73,4.26,1.04,0.1,1.35,1.04,1.14,0.62,0.83,0.42,0.62,0.1,7.7,0,1.04,0.31,0.1,0.83,5.51,0.21,0,0.31,156.55,0.94
22Month,0,0,0,2.87,0,0,0,0,0.27,3.42,0.14,0.14,0.27,0.14,0.55,0,0.14,0,0,0,1.78,0,0.68,0,0,0,0.41,0,0,0,0.68,0.14
