stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,1,0,0,0,0,0,0,1,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,9.02,0.85,0,0,0
21Day,0,0,0,0,0,0,0.37,2.22,0.74,0.37,0,0
3Month,0,0.1,0.1,0.21,0.21,0.1,0,0,0,0,0.73,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0,0.27,0
