stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0,22.83,3.1,5.64,0.85,0,0,0.28,0,0
21Day,0.37,0,0.74,0,0,0,0.37,0.37,0,0.37,1.11,0,0,0.37,7.77,0,2.96,0.37,0.37,0,0,0,0
3Month,0,0,0.31,0,0.42,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0.21,0,0,0.21,0,0.21,0.1
22Month,0.14,0.14,0.14,0.14,2.46,0.14,0,0.14,0.14,0,0.55,0.14,0,0.14,0,0,0.14,0,0,0.14,0,0.14,0.27
