stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0.28,1.13,0.28,0,0,0,0,0,0,0,0.28,2.82,0.28,1.69,0,68.49,5.36,0,0.28,1.69,0,0,1.41,0,0,0,0,0,0
21Day,0.37,0,0,4.07,0.74,1.11,0,0,0,0,0.37,0,1.48,0,0.37,1.85,0,2.96,0.37,34.78,1.11,0.37,0,1.85,1.11,0,0.37,0.37,0.37,0,0,0,0.74
3Month,0,0,0,1.14,0,0,0,0.31,0.42,0,1.66,1.14,0.21,0.31,0,0.42,0.31,0.62,0.42,6.55,0.21,0,0,0.21,0,3.74,0.94,0,0,0.42,1.35,3.85,0.73
22Month,0,0.27,0.14,2.19,0,0,0.27,0.55,1.5,0.41,9.98,1.78,0.41,0.82,0.14,0.27,0.96,0.82,0.41,3.96,0,0.96,0,0,0,0.82,0.96,0,0,0,0.55,0,0.82
