stage,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,1,0
21Day,0,1.85,0,0,0,0.37
3Month,0.1,0,0.21,0.1,0,0.1
