stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.56,0.28,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0.37,0,1.85,0.37,0,0,0.74,0
3Month,0.31,0.42,0.62,6.24,0,0.21,1.35,0.73,0,32.45,2.6,0.21,5.3,0.73,3.12,1.56,1.87,0.21,0.1,0.62,1.46,1.04,0.21,1.04,0.83,0,0,3.64,420.96,0.73,0.1,1.35,186.09,1.25
22Month,0,0.14,0.14,0.68,0.14,0.27,0.41,0.68,0.41,113.28,0.14,0,1.5,0,0.14,0.55,0.41,0,2.87,0.14,0.14,0,0,0.27,0.14,0.14,0,0,19.54,0.27,0.55,0,0.27,0.27
