stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,17.47,0,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0,3.1,0.56,0,0,0.85,0,0.28,0.56,0,0,0,0
21Day,33.67,0,0.37,2.96,0.37,3.33,0.37,0,0,0,0,0,0.37,0,0,1.11,0,2.59,0,0,0,2.96,0.74,0,0.74,0.74,1.11,0,1.11,0,0.74,0,0
3Month,0.1,0.21,0.1,0.73,0.21,0,0.1,0,0.52,0,4.89,0.73,0.1,0.94,0.1,0.73,0.62,0.62,0,0,0.1,0,0,0,0,0,0,0.83,0,0,0,0.1,0.62
22Month,0.14,0,0.14,1.37,0,0,0,0.14,0.82,0.55,21.04,0,0.41,2.87,0,0,1.09,1.37,0.14,0.41,0.14,0,0,0.41,0,0,0.27,0.82,0.14,0.14,0,0,0
