stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,46,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.13,1.97,0,1.13,0.28,0.56,0,0,0,0,0,0,0,0.28,3.1,0,3.1,0,0,0,0,23.39,16.63,0,0,3.95,0,0.28,1.13,0,0.28,0,0,0
21Day,0.74,1.11,0,3.33,0,0.37,0,0.74,0,0,0.37,0,0.37,0,3.33,0.37,7.03,0,0,2.22,0,10.36,4.07,0,0,7.03,2.22,0,0.74,0.74,0,0,0,0
3Month,0,2.39,0.1,1.56,0.1,0,0.1,0.1,1.14,0,26.94,0.1,0,0.94,2.29,0.52,4.37,0.42,0,0.52,0.1,0.62,0.1,0.42,0,0.1,0.52,1.25,0,0.1,0,0.21,0.1,0.31
22Month,0,2.32,0.68,1.23,0,0,0.14,0,1.5,3.69,67.09,0.41,0.27,1.5,0,0.82,2.73,0,1.23,0.41,0,0.55,0.14,0.55,0.14,0,0,0.14,0.14,0,0,0.27,0,0.27
