stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0.56,1.69,0,0.85,0,0,0,0,0
21Day,0,0,0.74,0.74,0.37,0,0,0,0.37,0,0.74,0.37,0.37,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0
3Month,0,0.1,1.56,0,0,0.73,0.42,0,3.43,0.62,0,0.94,0.1,0.52,0.42,0.62,0.1,0.21,0,0,0,0,0.21,1.04,0.1,0.1,0.42
22Month,0,0.14,0.55,0,0,0,0.27,0,5.47,0.14,0,0.27,0.14,0,0.41,0,0,0,0,0,0.14,0,0,0.27,0.14,0,0.14
