stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0.85,1.41,0.28,0.28,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0.37,0.37,0.37,0.74,0,0,0.37,0,0.37
3Month,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.27,0.14,1.09,0.27,0,0,0,0,0,0.14,0,0,0
