stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0.42,0.21,0.52,0.42,0.52,0.1,0.21,0.1,0,0.1,0,0.1,0.1,0.1
22Month,0.14,0.14,0,2.19,0.14,0,0,0.14,0.41,0.27,0,0.14,0,0,0
