stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.56,0.85,0,0.85,0,0,5.36,2.25,0,0,0.56,0.56,0,0.85,0,0,0,0
21Day,1.11,0.74,0.37,3.7,0.37,0.74,0,0.37,0,0,0.37,0,0,0,1.48,0,4.07,0.37,0,1.85,0.37,0.37,0.37,1.48,0,0,1.11,0.74,0,0,1.11
3Month,0,0.21,0,1.87,0,0,0.21,0,0.1,0,1.04,0.42,1.98,0,0.31,0.21,0.21,0,0.1,0,0.1,0.1,0,0,0,1.56,0.1,0,0.31,0.73,0.21
22Month,0,0,0,0.14,0.14,0,0,0,0,0.14,0.55,0.27,0,0,0,0.14,0.27,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0
