stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.69,0.56,0,0,0.56,0,0,0,0
21Day,0.37,0,0,1.48,0,0.37,0,0.37,0,0.37,0,0.37,0,0,0,0,0.74,0.37,1.11,0,0,0,0,0.74,0,0,0,0,0,0,0,0.37
3Month,0,0.83,0.1,4.47,0.21,0,0.1,0.1,0.83,1.46,0,3.02,1.25,0.21,0.31,0.42,1.14,2.08,2.18,0.21,0,1.14,0.1,0.52,0.21,0.1,0.1,0,0.52,0.21,0.31,1.77
22Month,0,0.55,0,0.96,0,0,0,0.14,0,0.55,0.14,9.7,0.27,0.27,0.96,0.14,0.27,0.68,1.37,0,0.14,0.14,0,0.14,0,0,0,0,0.41,0.14,0.27,0.68
