stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,1.13,1.69,0,1.13,0,0,0,0,0.85,1.97,0,0,0,1.97,0,0,0,0.28,0,0,0,0,0
21Day,0,0,5.92,5.92,0.37,1.11,0,0.37,0,0,0,0,2.59,0,1.11,2.22,1.11,2.59,0.37,2.59,0,0,2.59,0,1.85,0.74,0,0.37,0,1.48,0.37,0,0.74,0,0,0,0,0,0
3Month,0.21,0.73,3.64,14.46,0.31,0,0.1,0.1,0,11.34,3.22,0,155.82,24.13,0.31,44.52,4.16,1.87,3.43,3.74,0.52,0,4.78,4.68,0.31,0.42,2.7,2.81,0,0.83,2.39,0.21,4.26,0.31,0,0.42,2.7,2.39,2.18
22Month,0.82,1.91,9.57,18.58,0.41,0,1.64,0,0.14,10.52,5.88,2.73,1088.14,5.33,0.27,118.2,1.78,2.87,6.29,14.48,0.14,17.08,3.28,0.68,0.55,0,3.42,1.78,0.96,0.68,1.64,0,5.33,3.01,0.68,0.14,0.68,0,2.05
