stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0
3Month,0.1,0.1,0.31,0.42,0.21,0.94,0.1,0,0.1,0.73,0.21,0,0,0.1,0.1,0,0.21,3.02
22Month,0.14,0,0,0.27,0.68,0,0,0.14,0,0.82,0.14,0.14,0,0,0,0,0,3.96
