stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0.28,0
21Day,1.11,0.37,0.37,0,0,0,1.11,0,0,0,0.37,0,0,0,1.48
3Month,0.42,0,0,0.1,0,0,0,0.1,0.42,0.21,0,0,0.1,0,0.42
22Month,0,0,0,0,0.68,0.14,0,0,0,0,0,0.14,0,0,0.27
