stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,208,0,0,13,0,1,0,0,1,0,0,0,0,0,4,6,5,0,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0
72hpf,280.44,3.38,0,9.86,2.82,13.25,0,0.28,0,0,0,0.28,0,3.1,18.88,1.41,31.85,0,1.13,0.85,0,104.28,51.58,0.56,0.56,21.14,0,0,8.17,0.28,0.56,1.13,0,0
21Day,263.06,2.59,1.85,53.65,2.22,29.97,5.92,2.96,0,10.36,1.11,12.95,9.25,2.96,26.64,12.58,73.26,0,0.37,7.77,0.37,64.01,35.15,0.74,1.48,26.27,16.65,0.74,6.29,2.22,10.36,1.48,0,9.62
3Month,0.31,0,0,0.42,0,0,0,0.1,0,0.73,0.31,0,0.31,0.1,0,0.1,0.62,0,0,0.1,0,0,0,0,0,0,0,4.37,0,0,0,0,0.21,0
22Month,0,0.14,0,0,0,0,0,0.68,0,0.82,0.27,0,0.27,0,0,0,0,0.14,0,0,0,0.14,0,0.14,0,0,0,14.62,0.14,0,0,0,0,0.14
