stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.28,1.13,0,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0,0.37,0,0,0,1.11,0.74,0,0.37,0,0,0.37,0,0,0,0.74
3Month,0.1,0,1.14,0,0,0.1,0.62,0.83,1.56,0.21,0.21,0.1,0.1,4.89,0.21,0.21,0,0.21,0,0.1,0,0.21,0.1,3.12
22Month,0,0.14,0.41,0,0.14,0.14,0.27,2.19,0.27,0.14,0.41,0,0.41,6.83,0.68,0,0.14,0,0,0,0.14,0.55,0,2.32
