stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.85,0,0,0,8.17,2.54,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0,0.37,0,0,0,1.11,1.85,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.62,0.1,0,0.1,0.42,1.04,1.25,0.21,0.21,0.31,0.21,0,0,0,0.31,0.21,0.31,8.63,0,0,0.1,9.88,0
22Month,0,0.41,0,0,0,0,1.78,0.14,0,0,0.27,0,0.14,0,0,0,0,0,0.96,0,0.14,0,0,0.14
