stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.74,0,0.37,1.48,0,0,0,0,0,0.37,0,0.37,0,0,0,0,24.42,0,0,0,0,0.37,0.37,0,0,3.33,1.11,0,0,0.37,1.85,0,0
3Month,0,1.04,0.1,2.08,0.1,0,0.1,0.1,0.42,2.18,0.73,0,0.73,0.62,0.73,0.73,42.54,0.52,0,0.42,1.35,0,0,0.52,0.1,9.15,0.1,0.1,0,0,15.29,0.52,0.62
22Month,0,0.68,0.14,0.82,0,0.14,0,0.14,1.09,8.06,0.14,0,1.09,0.14,0.14,0.68,3.96,0,0.41,0.14,0.14,0.14,0.14,0.68,0,6.01,0,0.41,0.14,0,3.55,0,0.27
