stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
72hpf,0.28,0,0.28,0.28,1.69,0.28,0.28,0,0,0,0.28,1.97,0.28,1.13,1.69,1.13,0.85,0.85,0.28,0
21Day,0,0.37,1.48,0,3.7,1.11,0,0,1.48,0.74,0,0.37,2.22,1.11,1.11,1.11,0.37,0,0.74,0.74
22Month,0,0,0,0,0,0,0,0.27,0,0.41,0,0,0,0.14,0,0,0,0,0,0
