stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,T_cell
3Month,0.42,0.1,0,16.95,0.42,0,0.1,0.21,0,0.21,0.1,0,0.1,0.1
22Month,0,0,0.27,42.36,0,0.41,0.14,0,0.68,0,0,0.41,0,0
