stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,45.94,0,0,8.46,0.56,0,0.56,0,1.69,0,0,0,2.54,0,1.69,16.07,31.85,0.85,0,0.28,0,0,6.48,1.97,0,0,1.41,0,0,0,0,0,0,0,0,0,0
21Day,2.59,14.8,0.74,5.92,2.96,2.96,0,1.11,0.37,4.81,0,0,8.88,31.45,0.74,0.37,9.62,74.37,3.33,0,0,0.37,0,3.7,1.11,0,0,1.11,4.81,0,0,0,0.74,1.11,0,0,0,19.24
3Month,0.31,21.43,0.42,4.89,1.35,0,0.31,0.42,0.83,30.37,0,7.7,136.26,6.03,4.68,0.21,8.95,119.93,3.02,0.73,0.1,1.14,0.62,0.73,0,0.52,0.31,0.1,2.29,0.21,4.06,0.31,0,0,0.1,0.83,3.02,49.62
22Month,0.14,18.58,0.41,0.68,1.23,0,0.55,0,0.27,32.52,0.14,9.7,41.95,4.92,1.09,0,3.28,123.94,1.23,0,0.68,0.27,0,0,0,0.27,0.27,0,0.41,0,3.83,0,0.41,0,0,0.14,0,15.44
