stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,5.92,0.28,3.38,2.82,5.07,0,0.28,0,0,0,0,0,0,0.28,0,1.41,4.51,0.85,3.1,0,0,0.28,451.52,32.41,0,10.15,7.33,0,0,23.68,0.28,0,1.41,0,0,0
21Day,1.85,0.37,4.44,0.37,2.59,0,0.74,0,0,0.74,0.37,1.48,0,1.85,0.37,0.37,1.48,0,5.55,0,0,1.85,118.03,22.94,0.37,4.44,2.22,3.7,0.37,8.88,0,0.74,0,0,0,0.74
3Month,0.1,1.98,1.77,0.1,0,0.1,0.1,0,0.21,0.42,0.21,1.66,0.52,0.42,1.25,0.1,0.52,0.52,3.54,0.42,0,0.31,0.73,0.1,0.94,0.62,0,0.1,8.84,1.14,0,0,0.1,0.21,0.83,0.1
22Month,0.14,2.19,2.05,0.14,0,0,0,0.14,0.27,0.55,2.32,9.57,0.27,0.68,0.96,0,0,0.82,5.19,0,0.14,0,1.5,0.14,0.82,0.68,0,0,2.73,1.78,0,0,0,0,0,0.14
