stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.54,0.56,0.28,0.56,0,0.28,0,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0.37,0.37,0,0.37,0,1.85,1.85,0.37,0.37,1.48,0,0.74,0.37,0.37,0,0.37
3Month,0,0,0,0,0,0.1,0,0,0.1,0,0.21,0,0,0,0,0,0,0.21,0,0,0,0.31,0
22Month,0,0.14,0,0,0.14,1.23,0.14,0.14,0,0,0,0.41,0.14,0,0,0,0,0.14,0,0,0,0,0
