stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0,0,0,9.02,0,0.28,0,0.85,0.28,0,0,0
21Day,0.37,0,0,0,0,0.37,2.22,0.37,0,0,0.37,0,0,0,0
3Month,6.97,0,0.52,0.1,0.42,0.52,0.21,0,0,0.21,0,0,0.21,0.21,0.1
22Month,0.14,0.14,0.96,0,0,0,0,0.41,0,0,0,0,0.27,0,0
