stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,7,2,1,0,0,0,1,0,0,0,1,0,2,7,0,0,1,0,267,0,3,0,0,0,0,0
72hpf,1.69,1.13,0.85,2.25,0,0,0,0,0,0,1.41,1.69,0.28,4.23,0.28,0,0.28,43.4,23.68,0,5.92,0,6.76,0,0.85,0
21Day,1.11,0.37,0.74,2.59,1.85,0,0,0.37,0.37,0.37,0,0,0,8.51,0,1.11,0,11.47,7.77,0.37,0.74,0.74,8.51,0.37,0,0
3Month,0,0.21,1.04,0,0,0.1,0,0.52,0,0,0,0.1,0,0.52,0,0,0,0,0,0,0,0,0.21,0,0,0.31
22Month,0,0,0,0,0,0,0,1.23,0.14,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0
