stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,0,1,0,0,0,0,0,0,0
72hpf,1.41,0.85,0.28,0.56,0,0,0,0,0,0,0,0.28,0.56,0,1.41,0,0,0,1.97,0.56,0.56,2.54,0,0,0,0,0,0,0
21Day,2.22,0,18.5,0,0.74,0,0,0,0.37,0,0.37,0.37,0.74,0,3.33,0,0,0,0.37,0,0.74,2.59,0.74,0,0.37,0.37,0,0,0
3Month,0.1,0.21,4.78,0,0,0.1,0.21,0.1,0.31,0.31,0.21,0,1.35,0.21,0.94,0.1,0.1,0.1,0.1,0,0.62,0.1,0.1,0.52,0,0,0.1,0.21,0.1
22Month,0,0.14,0.55,0,0,0,0,0.14,0.68,0,0.14,0,0.27,0.27,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
