stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.85,0,3.66,1.69,0,0,0,0.28,0,1.41,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0.37,0,0.74,0.37,2.59,0.37,0,0,0,1.11,0,0,0,0,0,0,0
3Month,0,0.1,0.62,0.1,0,0,0.1,0.21,0.1,0.1,0.21,0,0.1,0.42,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0.1,0.21,0.1,0.42
22Month,0,0,0.41,0,0.14,0.14,0,2.46,0.14,0.14,0.27,0.14,0,0.55,0.14,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0.14
