stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,1,1,0,1,2,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0,0.37,0.37,0,0,0.37,0.37,0,0,0
3Month,0.62,0.1,0.1,0.1,0.21,0.21,0,0.1,0,0,0.1,1.77,0.1,0.62
22Month,0,0,0.14,0,0,0,0,0,0,0,0,1.78,0,0.14
