stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0,1.11,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,18.2,0.21,0.21,1.14,0.21,0.94,0.21,1.35,0.1,0.31,0.1,0,0.1,0.1,0.21,0.1,0.1,0.31
