stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0.28,0,0,1.41,0,18.6,3.1,0,1.13,0,5.64
21Day,0,0,0.37,0,0,0,0,0.37,0,0.37,0,4.81,2.22,0,1.11,0,0.74
3Month,0,0.21,0,0.1,0,0.62,0,0,0.1,0,0,0,0,0.1,0,0.1,0
22Month,0,0.14,0,0.14,0.14,2.19,0,0,0.27,0.14,0.27,0,0,0,0,0,0
