stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0.85,3.38,2.54,2.25,0,0,0.28,0,1.13,0.85,0,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0.37,1.48,5.55,0,1.11,0,0,0,0,0,0,0,0,4.81,0.37,1.11,2.59,1.48,3.7,0,0,0.37,0,1.85,0,0,0,1.85,0,0.37,0,0.37,0,0,1.11
3Month,0.21,0.62,1.25,16.23,0,0,0.1,0.1,2.5,3.74,0,0,8.01,4.47,0.1,7.59,2.7,12.07,8.01,2.5,0.73,0,2.29,3.64,0.1,0.1,0.62,0.1,0.21,0.73,2.91,0.1,0,0.73,0.42,7.28
22Month,0,0.96,0.96,6.83,0.14,0,0,0,1.23,2.87,1.64,0,23.09,2.05,0.55,5.74,0,2.87,8.34,3.28,0,0.55,0.82,0,0.14,0,0.41,0,0.14,0.14,0.82,0.27,0,0,0,3.42
