stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,13.25,3.95,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,3.7,0,0.74,0,0,0,0,0,0.37,0.74,0,1.11,0.37,1.48,0,0,0.37,0,10.73,1.11,0,0,0.37,0,0,0.37,0.74,0,0,0.37
3Month,0.1,2.6,0.1,4.58,0.1,0,0.31,0.62,0.1,2.6,0.31,0,0.73,0.1,3.54,1.04,2.08,0.1,0,0.62,0.1,0.21,0,0.1,0.1,0.1,0.31,2.29,0.21,0,28.81,0.83,0.73
22Month,0,1.64,0,0.14,0,0,0,0.41,0,5.88,0.27,0,1.64,0.27,0.14,0,0.55,0,0.27,0.14,0,0,0,0,0,0,0.14,1.09,0,0,4.92,0,0
