stage,Hepatocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,1,0,0,1,0
72hpf,0,0,0,2.54,0.28,0.28
21Day,0,0,0.37,0,0,0
22Month,0.41,0,0.14,0,0,0
