stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Spermatocyte
21Day,0,0,0,0,0.37,0,0,0,0,0
3Month,0.31,0,0.31,1.46,3.85,10.51,0.1,0,0.1,0.1
22Month,0,0.14,0.55,4.51,7.24,1.64,0,0.27,0,0
