stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,1,0,7,0,0,3,0,0,0,0,1,1,8,4,0,0,3,441,0,1,1,0,0,0,0,0,0,0
72hpf,2.25,1.41,0,0,2.82,0,0,0,0,0,0,0.56,3.1,0,1.97,0.28,0.28,32.69,128.24,3.38,3.38,0.28,0,15.22,0.28,0,0.28,0,0
21Day,0.74,0,0.37,1.48,3.7,0,0,0.74,0.37,1.85,0.74,0.37,1.11,1.11,4.07,0,0.74,14.43,83.62,1.11,2.96,3.33,0,14.06,0.37,1.11,0.37,0,1.11
3Month,0,0,0,0.21,0,0.1,0,0,0,0.1,0.1,0,0.21,0.21,0.21,0,0.83,0,0.1,0.21,0,0,0.94,0,0,0,0,0.42,0.1
22Month,0,0,0,0.14,0,0,0,0.68,0,0,0.14,0,0,0.14,0.27,0,0,0,0,0,0,0.14,4.24,0,0,0,0,0,0
