stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,15,3,0,5,0,0,0,0,0,3,0,0,0,0,0,1,4,8,0,0,0,17,1143,0,0,1,0,0,0,0,0,0,0,0
72hpf,20.57,4.51,0,13.53,3.1,18.04,0.56,0,0.28,0,0.28,0,0.56,0,6.2,31.85,3.1,22.55,0,1.13,0.56,1068.77,1695.88,0.28,0.56,37.77,0.56,0,36.08,15.22,10.43,1.69,0,0
21Day,8.51,1.85,1.11,12.58,0,21.83,1.85,0,0.37,0,2.22,1.11,5.92,3.33,1.48,8.51,3.7,18.13,0,0.37,2.22,380.35,365.18,0.37,0.37,5.55,13.69,0,8.51,13.32,9.99,1.11,0,3.33
3Month,0,0,0.21,1.77,0.1,0,0,0.31,0.52,0,2.29,0.52,0,1.25,0.1,0.42,0.31,1.25,0.21,0,0.21,4.26,4.68,0.21,0,0,0,1.04,0.31,0.1,0,0,0.31,0.52
22Month,0,0,0.27,0.55,0,0,0,0,0.82,0,4.78,0.27,0,0.55,0,0.14,0.27,0.14,0.14,0,0,3.83,0.55,0.14,0,0,0,0.55,2.32,0.27,0,0,0,0.27
