stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,0,0,0,1.13,0.56,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0.74,0,0,0,0.37,0,0,0,0.37,0,0,1.85,0.74,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.31,0.21,1.87,0.1,0.1,0,5.51,0.1,0,0.42,1.25,5.93,0.1,0.21,0,0.1,0.31,0,0.1,0.21,0.21,0.21,0.83,0.1,0,0.21,0.21,0.31
22Month,0,0.41,0.14,0.55,0,0.55,0.27,7.52,0,0,0.41,0,2.87,0.41,0.27,0.55,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.27
