stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0.37,1.48,0,0.74,0,0.74,0.74,0,0.37,0,0,0,0
3Month,0,0.42,0.1,1.66,0.1,0.1,0.31,0.73,2.7,0.21,0.1,0.83,0.42,1.35,0.73,1.56,0.42,0.21,0.1,0,0,0.1,1.04,0,0.52,12.59,0.62
22Month,0.14,0,0,0,0,0,0,0.27,1.09,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.27,0.14,0,0,0
