stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,1,0,0,1,0,0,0,0,0,5,2,0,0,0,0,5,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,1.13,0,0.28,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0.74,1.48,0,0,0,0,1.11,1.11,0,0.37,0,0,0
3Month,0,0.52,0.42,0,0.73,0,1.77,0.73,0.1,0.1,0.1,0.83,0.83,0.21,0.21,0.1,0.1,0,0,1.66,0,0.21,0.42,0.21
22Month,0,0,0,0,0.14,0,0.82,0,0,0,0,0.41,0.14,0,0,0,0,0,0.14,0,0,0,0,0
