stage,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0,0,0,0,0,0,0,0,0,0.21
22Month,0.55,1.91,0.27,0.14,0,0.14,0.14,0.41,0.14,0.41,0
