stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0.56,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0,0.52,0,0.1,0.21,0.1,0.31,0.1,0.1,0.21,0.1,0,0.31,0,0,0.1,0,0.42,0.1
22Month,0,0.14,0,0,1.09,0.27,0.27,0,0,0,0,0.14,0,0,0,0,0,0.41,0
