stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.52,3.02,0.1,3.12,0.1,0,0.31,0.1,0,7.49,0.1,0.21,3.43,0.21,0.1,0.21,0.1,0,0.1,0,0.1,0.1,0.83
22Month,0.27,0.55,3.14,0,4.24,2.19,0.27,3.28,0.14,0.41,24.73,0.14,0,2.73,0.55,0.41,0,1.09,0.14,0,0,0,0,5.6
