stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0.37,0
3Month,0.1,0.1,0.21,0,1.04,0,0,0.1,0.42,0.31,0,0.1,0.31,0.1,0.31,0,0,0.52
22Month,0.14,0,0,0.14,0.68,0.14,0,0,0,0,0.14,0.14,0,0.27,0,0.14,0,0
