stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,1,1,6,0,2,36,0,1,0,1
72hpf,0.28,0.28,0,0.28,0,0,0.85,0.28,1.69,1.13,0,0.85,0.28,0
21Day,0.74,0.74,0.37,0,0,0,1.11,0,1.11,1.11,0.37,0,0,0
