stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.41,0,0,0,0,0,0.28,0,0,0,0.28,0,0.28,0,0,2.82,2.54,0,0.28,13.25,0,0,0,0,0.56,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0.37,0,0.37,0,0
3Month,0,0,0,0,0.21,0.31,0.1,0,0.73,0.73,0.21,0.1,0,0.31,0.1,0,0.21,0,0,0.1,0,0,0,0,0,0,0.1,0.31
22Month,0,0.14,0.14,0.14,0,0,0,0,2.32,0.14,0.14,0,0,0.14,0.27,0.27,0,0,0,0,0,0,0.82,0,0.14,0,0,0.41
