stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
72hpf,0.56,0.28,0,0,0,0,0,1.41,0.85,0,0,2.25,0
21Day,0,0,0,0,0,0,0,0.74,1.48,0,0.74,1.48,0
3Month,0,0,0.31,0.1,0.1,0.31,0.31,0,0.1,0.1,0,0.1,0
22Month,0,0,1.09,0,0,0.27,0,0,0,0,0,0,0.14
