stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0
21Day,0.37,0,16.28,0.74,0,0,0,0,0,0,0,0,17.76,0,0.37,1.48,0,0.37,0,0.37,0,0
3Month,0,0,7.91,0,0,0.1,0.21,0.21,1.04,0.1,0.52,0.1,0.52,0.31,0.31,0.1,0,0.1,0.31,0,0.21,0.21
22Month,0,0.14,1.64,0,0.14,0,0,0.27,2.73,0.14,0.14,0,0,0.14,0.41,0,0.14,0,0.41,0,0,0
