stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,1.13,0,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37,1.48,0,0.37,0,0,0,0,0.74,1.85,0.37,0,0,0.37,0.37,8.51,0,0,0,0.37,0
3Month,0.62,0.52,3.33,0,0.21,0.1,0.83,0.94,0,6.14,2.5,0.1,2.39,0.52,1.46,0.62,1.77,0.42,0.1,0.62,0.73,0.21,0.1,0.42,0.31,0,0.21,1.98,237.16,0.31,0.1,1.46,27.15,1.25
22Month,0.55,0.14,0.82,0.14,0.27,0.14,0,0.96,0.27,10.66,0.14,0.27,2.05,0,0.27,1.09,0.82,0,0.55,0.27,0,0.27,0,0.14,0.14,5.6,0,0.14,40.99,0,0,0,0,0.41
