stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0.28,0.28,0.28,0,0,0,0,0.56,0.28,45.1,0.56,0,0,0,10.15,11.56,0.28
21Day,0.74,0,2.59,0.37,0,0.74,0,0.37,1.48,0.74,7.4,1.48,0.37,2.22,0,15.91,74.37,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.1,0
22Month,0,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0
