stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,5.92,0,0.37,0,0,0,0,0.37,0.37,0,0,0.74
3Month,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0
22Month,0.14,0.27,0.27,0.96,0.14,0.14,0.27,120.25,0.55,0.68,0.14,0.82,1.78,0.27,0,0,0.14,0.14,0
