stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0.37,0.37,0,0,0
3Month,1.04,0,0.21,0,0,0,0.31,0.1,0.1
22Month,0.27,0.14,0.27,0.41,0,0,0.27,0,0
