stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.28,2.25,0,0,0,0,72.72,2.82,0,0,0,1.41,0,0,0.56,0,0,0
21Day,0.37,0,0,1.48,0,0.37,0,0,0,0,0,0,0,0,0.37,0.74,0,0,1.11,0,20.35,2.59,0,0.74,0,0,0.74,0.37,0.37,0,0,0.74
3Month,0,0.52,0.1,5.2,0,0.21,0.42,0.1,1.98,0.31,0.21,1.14,0.42,0.62,0.62,2.5,0.21,0,0.1,0.21,3.22,0.21,0.52,0,0,0,0,1.56,0,0,0.31,0.62
22Month,0,0.55,0.14,2.32,0.27,0.14,0.27,0.68,7.38,0.41,0.27,0.55,0.27,0,0.55,0.55,0,0.27,0.27,0,1.78,0,1.64,0.14,0.27,0,0.14,0.82,0,0.14,0,0.14
